id,category,garhwali,hindi,english
3653,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
3654,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3655,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
3656,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
3657,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3658,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3659,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3660,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
3661,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
3662,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
3663,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3664,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
3665,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
3666,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
3667,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3668,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3669,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
3670,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3671,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
3672,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
3673,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
3674,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
3675,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
3676,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
3677,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3678,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
3679,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3680,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
3681,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
3682,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
3683,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3684,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3685,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
3686,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
3687,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
3688,daily_use,खिड़की बंद कर दे।,खिड़की बंद कर दो।,Close the window.
3689,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3690,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3691,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
3692,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
3693,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3694,food,चाय बनाई दे।,चाय बना दो।,Make tea.
3695,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
3696,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
3697,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3698,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3699,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
3700,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
3701,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
3702,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
3703,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
3704,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3705,greetings,जै हो!,जय हो!,Greetings!
3706,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
3707,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
3708,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3709,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3710,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3711,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
3712,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3713,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3714,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3715,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
3716,food,चाय बनाई दे।,चाय बना दो।,Make tea.
3717,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3718,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
3719,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
3720,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3721,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3722,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3723,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3724,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
3725,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
3726,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
3727,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3728,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
3729,food,चाय बनाई दे।,चाय बना दो।,Make tea.
3730,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
3731,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
3732,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3733,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3734,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3735,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3736,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
3737,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
3738,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3739,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3740,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3741,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3742,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
3743,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
3744,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3745,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
3746,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3747,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
3748,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3749,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
3750,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3751,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3752,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
3753,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
3754,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
3755,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
3756,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
3757,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
3758,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3759,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
3760,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
3761,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
3762,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3763,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
3764,greetings,जै हो!,जय हो!,Greetings!
3765,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
3766,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
3767,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
3768,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3769,greetings,जै हो!,जय हो!,Greetings!
3770,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
3771,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
3772,greetings,जै हो!,जय हो!,Greetings!
3773,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
3774,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3775,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3776,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3777,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3778,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
3779,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
3780,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3781,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
3782,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
3783,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3784,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
3785,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
3786,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
3787,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
3788,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
3789,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
3790,food,चाय बनाई दे।,चाय बना दो।,Make tea.
3791,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3792,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
3793,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3794,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
3795,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
3796,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3797,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
3798,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
3799,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3800,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3801,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
3802,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3803,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3804,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
3805,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
3806,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
3807,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3808,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3809,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
3810,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
3811,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3812,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
3813,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
3814,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3815,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
3816,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3817,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3818,greetings,जै हो!,जय हो!,Greetings!
3819,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
3820,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
3821,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
3822,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
3823,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3824,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
3825,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
3826,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3827,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3828,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3829,food,चाय बनाई दे।,चाय बना दो।,Make tea.
3830,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
3831,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
3832,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3833,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
3834,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
3835,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3836,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
3837,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
3838,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
3839,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3840,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3841,greetings,जै हो!,जय हो!,Greetings!
3842,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3843,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3844,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3845,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3846,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3847,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
3848,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
3849,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
3850,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
3851,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3852,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
3853,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3854,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3855,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
3856,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
3857,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
3858,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
3859,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
3860,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3861,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
3862,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3863,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3864,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
3865,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3866,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3867,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
3868,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
3869,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
3870,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
3871,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
3872,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
3873,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3874,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3875,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3876,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
3877,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
3878,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
3879,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3880,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3881,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3882,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3883,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3884,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
3885,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3886,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3887,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
3888,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
3889,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
3890,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3891,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
3892,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
3893,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3894,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
3895,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
3896,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3897,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
3898,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3899,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
3900,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
3901,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3902,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
3903,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3904,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
3905,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
3906,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3907,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3908,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3909,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
3910,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
3911,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3912,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
3913,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
3914,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
3915,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
3916,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
3917,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3918,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
3919,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3920,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
3921,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
3922,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
3923,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3924,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3925,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3926,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3927,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
3928,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
3929,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
3930,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
3931,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
3932,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
3933,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3934,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
3935,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3936,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
3937,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3938,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
3939,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3940,greetings,जै हो!,जय हो!,Greetings!
3941,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3942,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
3943,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3944,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
3945,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
3946,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3947,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3948,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
3949,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
3950,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3951,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
3952,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3953,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
3954,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3955,greetings,जै हो!,जय हो!,Greetings!
3956,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
3957,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
3958,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
3959,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
3960,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
3961,greetings,जै हो!,जय हो!,Greetings!
3962,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3963,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
3964,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3965,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
3966,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
3967,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3968,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
3969,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
3970,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
3971,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
3972,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
3973,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3974,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3975,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
3976,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
